3.689000000000000000e+03 5.368800000000000000e+04
5.368900000000000000e+04 1.036880000000000000e+05
1.036890000000000000e+05 1.536880000000000000e+05
1.536890000000000000e+05 2.036880000000000000e+05
2.036890000000000000e+05 2.536880000000000000e+05
2.536890000000000000e+05 3.036880000000000000e+05
3.036890000000000000e+05 3.536880000000000000e+05
3.536890000000000000e+05 4.036880000000000000e+05
4.036890000000000000e+05 4.536880000000000000e+05
4.536890000000000000e+05 5.036880000000000000e+05
5.036890000000000000e+05 5.536880000000000000e+05
5.536890000000000000e+05 6.036880000000000000e+05
6.036890000000000000e+05 6.536880000000000000e+05
6.536890000000000000e+05 7.036880000000000000e+05
7.036890000000000000e+05 7.536880000000000000e+05
7.536890000000000000e+05 8.036880000000000000e+05
8.036890000000000000e+05 8.536880000000000000e+05
8.536890000000000000e+05 9.036880000000000000e+05
9.036890000000000000e+05 9.536880000000000000e+05
9.536890000000000000e+05 9.884730000000000000e+05
