3.977000000000000000e+03 5.397600000000000000e+04
5.397700000000000000e+04 1.039760000000000000e+05
1.039770000000000000e+05 1.539760000000000000e+05
1.539770000000000000e+05 2.039760000000000000e+05
2.039770000000000000e+05 2.539760000000000000e+05
2.539770000000000000e+05 3.039760000000000000e+05
3.039770000000000000e+05 3.539760000000000000e+05
3.539770000000000000e+05 4.039760000000000000e+05
4.039770000000000000e+05 4.539760000000000000e+05
4.539770000000000000e+05 5.039760000000000000e+05
5.039770000000000000e+05 5.539760000000000000e+05
5.539770000000000000e+05 6.039760000000000000e+05
6.039770000000000000e+05 6.539760000000000000e+05
6.539770000000000000e+05 7.039760000000000000e+05
7.039770000000000000e+05 7.539760000000000000e+05
7.539770000000000000e+05 8.039760000000000000e+05
8.039770000000000000e+05 8.539760000000000000e+05
8.539770000000000000e+05 9.039760000000000000e+05
9.039770000000000000e+05 9.539760000000000000e+05
9.539770000000000000e+05 9.987050000000000000e+05
