GR,s,h,rho,rho_scaled,mean,sd
100,0.05,0.5,5e-08,4.9999999999999996e-06,412.0440881763527,84.798734433755
50,0.05,0.5,5e-08,2.4999999999999998e-06,410.2585170340681,74.56602221710865
10,0.05,0.5,5e-08,5e-07,396.67134268537075,78.82368230404285
1,0.05,0.5,5e-08,5e-08,402.00400801603206,73.96658846265082
