2.261000000000000000e+03 5.226000000000000000e+04
5.226100000000000000e+04 1.022600000000000000e+05
1.022610000000000000e+05 1.522600000000000000e+05
1.522610000000000000e+05 2.022600000000000000e+05
2.022610000000000000e+05 2.522600000000000000e+05
2.522610000000000000e+05 3.022600000000000000e+05
3.022610000000000000e+05 3.522600000000000000e+05
3.522610000000000000e+05 4.022600000000000000e+05
4.022610000000000000e+05 4.522600000000000000e+05
4.522610000000000000e+05 5.022600000000000000e+05
5.022610000000000000e+05 5.522600000000000000e+05
5.522610000000000000e+05 6.022600000000000000e+05
6.022610000000000000e+05 6.522600000000000000e+05
6.522610000000000000e+05 7.022600000000000000e+05
7.022610000000000000e+05 7.522600000000000000e+05
7.522610000000000000e+05 8.022600000000000000e+05
8.022610000000000000e+05 8.522600000000000000e+05
8.522610000000000000e+05 9.022600000000000000e+05
9.022610000000000000e+05 9.522600000000000000e+05
9.522610000000000000e+05 9.974700000000000000e+05
