GR,s,h,rho,rho_scaled,mean,sd
100,0.05,0.5,5e-08,4.9999999999999996e-06,348.9559118236473,76.46939475014862
50,0.05,0.5,5e-08,2.4999999999999998e-06,339.0080160320641,66.91878983967185
10,0.05,0.5,5e-08,5e-07,318.95791583166334,57.8060410857634
1,0.05,0.5,5e-08,5e-08,309.61723446893785,57.24764585018924
