GR,s,h,rho,rho_scaled,mean,sd
250,0.1,0.5,5e-08,1.2499999999999999e-05,334.67134268537075,76.47421409919266
100,0.1,0.5,5e-08,4.9999999999999996e-06,261.0260521042084,43.76091169313257
50,0.1,0.5,5e-08,2.4999999999999998e-06,248.46492985971943,40.05468491549783
25,0.1,0.5,5e-08,1.2499999999999999e-06,242.1202404809619,39.64265039149798
10,0.1,0.5,5e-08,5e-07,244.64529058116233,40.092268492030726
1,0.1,0.5,5e-08,5e-08,239.64529058116233,38.97172841082417
