GR,s,h,rho,rho_scaled,mean,sd
100,0.05,0.5,5e-08,4.9999999999999996e-06,435.21042084168334,84.56658821896049
50,0.05,0.5,5e-08,2.4999999999999998e-06,425.7134268537074,81.56560446294617
10,0.05,0.5,5e-08,5e-07,420.79158316633266,80.54216791562537
1,0.05,0.5,5e-08,5e-08,415.30861723446895,77.38139613474827
