1.984000000000000000e+03 5.198300000000000000e+04
5.198400000000000000e+04 1.019830000000000000e+05
1.019840000000000000e+05 1.519830000000000000e+05
1.519840000000000000e+05 2.019830000000000000e+05
2.019840000000000000e+05 2.519830000000000000e+05
2.519840000000000000e+05 3.019830000000000000e+05
3.019840000000000000e+05 3.519830000000000000e+05
3.519840000000000000e+05 4.019830000000000000e+05
4.019840000000000000e+05 4.519830000000000000e+05
4.519840000000000000e+05 5.019830000000000000e+05
5.019840000000000000e+05 5.519830000000000000e+05
5.519840000000000000e+05 6.019830000000000000e+05
6.019840000000000000e+05 6.519830000000000000e+05
6.519840000000000000e+05 7.019830000000000000e+05
7.019840000000000000e+05 7.519830000000000000e+05
7.519840000000000000e+05 8.019830000000000000e+05
8.019840000000000000e+05 8.519830000000000000e+05
8.519840000000000000e+05 9.019830000000000000e+05
9.019840000000000000e+05 9.519830000000000000e+05
9.519840000000000000e+05 9.988060000000000000e+05
