2.999000000000000000e+03 5.299800000000000000e+04
5.299900000000000000e+04 1.029980000000000000e+05
1.029990000000000000e+05 1.529980000000000000e+05
1.529990000000000000e+05 2.029980000000000000e+05
2.029990000000000000e+05 2.529980000000000000e+05
2.529990000000000000e+05 3.029980000000000000e+05
3.029990000000000000e+05 3.529980000000000000e+05
3.529990000000000000e+05 4.029980000000000000e+05
4.029990000000000000e+05 4.529980000000000000e+05
4.529990000000000000e+05 5.029980000000000000e+05
5.029990000000000000e+05 5.529980000000000000e+05
5.529990000000000000e+05 6.029980000000000000e+05
6.029990000000000000e+05 6.529980000000000000e+05
6.529990000000000000e+05 7.029980000000000000e+05
7.029990000000000000e+05 7.529980000000000000e+05
7.529990000000000000e+05 8.029980000000000000e+05
8.029990000000000000e+05 8.529980000000000000e+05
8.529990000000000000e+05 9.029980000000000000e+05
9.029990000000000000e+05 9.529980000000000000e+05
9.529990000000000000e+05 9.980500000000000000e+05
