GR,s,h,rho,rho_scaled,window,mean,sd
10,0.05,0.8,5e-08,5e-07,812500,3.8348119999327294e-05,2.7532576332767372e-05
10,0.05,0.8,5e-08,5e-07,833333,3.8014669028076177e-05,3.069148959000015e-05
10,0.05,0.8,5e-08,5e-07,854166,3.7112335649552063e-05,2.6920243720988798e-05
10,0.05,0.8,5e-08,5e-07,875000,3.750598080948316e-05,2.7505751972888463e-05
10,0.05,0.8,5e-08,5e-07,895833,3.791232684319037e-05,2.7578829992448274e-05
10,0.05,0.8,5e-08,5e-07,916666,3.790927236814435e-05,2.78518201590746e-05
10,0.05,0.8,5e-08,5e-07,937500,3.8684729070784475e-05,2.9969355924047183e-05
10,0.05,0.8,5e-08,5e-07,958333,3.851668853249562e-05,2.7850893072570417e-05
10,0.05,0.8,5e-08,5e-07,979166,3.740986816546118e-05,2.454077052848733e-05
10,0.05,0.8,5e-08,5e-07,1000000,4.121676904037342e-05,2.9678213053978823e-05
10,0.05,0.8,5e-08,5e-07,chr2,3.972424789277045e-05,4.504327911920419e-06
1,0.05,0.8,5e-08,5e-08,0,3.751736200131305e-05,2.8269229746404227e-05
1,0.05,0.8,5e-08,5e-08,20833,3.994849221459559e-05,3.0425368860787493e-05
1,0.05,0.8,5e-08,5e-08,41666,3.912800791132299e-05,3.0223477216906842e-05
1,0.05,0.8,5e-08,5e-08,62500,4.003630713852295e-05,2.8904145532990684e-05
1,0.05,0.8,5e-08,5e-08,83333,3.9888241584052176e-05,3.0525394618774015e-05
1,0.05,0.8,5e-08,5e-08,104166,3.938811693975883e-05,2.8690848251656112e-05
1,0.05,0.8,5e-08,5e-08,125000,4.0072206245491956e-05,2.836576045456562e-05
1,0.05,0.8,5e-08,5e-08,145833,3.839807226247163e-05,2.796505148823411e-05
1,0.05,0.8,5e-08,5e-08,166666,3.819667922525877e-05,2.767194431736273e-05
1,0.05,0.8,5e-08,5e-08,187500,3.604047643873324e-05,2.698735893832765e-05
1,0.05,0.8,5e-08,5e-08,208333,3.7958819999699637e-05,2.772881782596369e-05
1,0.05,0.8,5e-08,5e-08,229166,3.751406573421978e-05,3.243627534268604e-05
1,0.05,0.8,5e-08,5e-08,250000,3.615999537092454e-05,2.7864785895963578e-05
1,0.05,0.8,5e-08,5e-08,270833,3.686929516583791e-05,2.7722740432024914e-05
1,0.05,0.8,5e-08,5e-08,291666,3.477857361332703e-05,2.6766343976509085e-05
1,0.05,0.8,5e-08,5e-08,312500,3.4371223097194e-05,2.6492000979413978e-05
1,0.05,0.8,5e-08,5e-08,333333,3.482811631035047e-05,2.7978984490182128e-05
1,0.05,0.8,5e-08,5e-08,354166,3.4458307710447625e-05,2.8130814016118315e-05
1,0.05,0.8,5e-08,5e-08,375000,3.1593004240706094e-05,2.5995133482764156e-05
